Project Number,Due Date,Start Date,Client Due Date,Address 1,Address 2,City,State,ZIP,Info,Status,Field Status,Client Status,Tasks,Assigned To,Coordinator,Client Code,Reference,Description,Src. Project Provider,Src. Project ID,Src. Project Number,Options
TX122917-2,1/1/2018 0:00,,1/1/2018 0:00,412 Locust Street,,Merkel,TX,79536,LB: 9561,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":"""",""instructions"":"""",""options"":null}]",Rubenanahimartinez,,,(Ongoing Ext) Periodic Lawn,$40.00 ,,,,
TX122917-4,1/1/2018 0:00,,1/1/2018 0:00,401 Line Drive,,Gainesville,TX,76240,LB: 2505,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",DianeJackson,,,(Ongoing Ext) Periodic Lawn,$40.00 ,,,,
TX122917-7,1/1/2018 0:00,,1/1/2018 0:00,300 Glazner Street,,Hawkins,TX,75765,LB: 8453,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Jenniferh,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX122917-8,1/1/2018 0:00,,1/1/2018 0:00,16031 Stonebriar Ct,,Lindale,TX,75771,LB: 6834,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Jenniferh,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX122917-9,1/1/2018 0:00,,1/1/2018 0:00,2405 N SH 37,,Quitman,TX,75783,LB: 2284,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Jenniferh,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX122917-95,1/1/2018 0:00,,1/1/2018 0:00,2822 Brazos River Rd,,Granbury,TX,76048,LB: 7437,Invoiced,Viewed,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",LatriciaCheek,,,(Ongoing Ext) Periodic Lawn,$70.00 ,,,,
TX122917-99,1/1/2018 0:00,,1/1/2018 0:00,3222 Erwin Road,,Poolville,TX,76487,LB: 2137 | Front Gate: 1695,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",MarkMoeller,,,(Ongoing Ext) Periodic Lawn,$75.00 ,,,,
1228-082226,1/1/2018 23:00,,1/1/2018 23:00,4904 Blackburn Ave,,Joshua,TX,76058,LB: 4925,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""Paint Boarded Doors"",""survey"":"""",""instructions"":""Please paint the boarded up doors on the exterior, paint to match home"",""options"":null}]",LatriciaCheek,,,Paint Boarded Doors,$50.00 ,,,,
111017-22__1,1/2/2018 0:00,,1/2/2018 0:00,10508 NW 16TH ST,,Yukon,OK,73099,LB: 9548,Invoiced,,Fannie Mae,"[{""serviceName"":""ongoing ext_ periodic lawn-shortage"",""survey"":null,""instructions"":"""",""options"":null}]",Clintg,,,ongoing ext) periodic lawn-shortage,33,,,,
11262017-39__1,1/2/2018 0:00,,1/2/2018 0:00,4388 Clyde Morgan Road,,Wichita Falls,TX,76310,LB: 8614,Invoiced,,Fannie Mae,"[{""serviceName"":""ongoing ext_ periodic lawn-shortage"",""survey"":"""",""instructions"":"""",""options"":null}]",Clintg,,,ongoing ext) periodic lawn-shortage,12,,,,
11262017-3__1,1/2/2018 0:00,,1/2/2018 0:00,2917 Featherston Ave,,Wichita Falls,TX,76308,LB: 9931,Invoiced,,Fannie Mae,"[{""serviceName"":""ongoing ext_ periodic lawn-shortage"",""survey"":"""",""instructions"":"""",""options"":null}]",Clintg,,,Balance Due,12,,,,
4.64131E+14,1/2/2018 0:00,,1/2/2018 0:00,603 N Washington Ave,,Elk City,OK,73644,,Invoiced,Viewed,Fannie Mae,"[{""serviceName"":""damprid"",""survey"":null,""instructions"":"""",""options"":null}]",royherndon,,,damprid,35,,,,
OK122217-18__1,1/2/2018 0:00,,1/2/2018 0:00,5425 S DEWEY AVE,,OKLAHOMA CITY,OK,73109,LB: 3117,Invoiced,,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn- shortage"",""survey"":null,""instructions"":"""",""options"":null}]",Clintg,,,(Ongoing Ext) Periodic Lawn- shortage,2,,,,
OK122217-38__1,1/2/2018 0:00,,1/2/2018 0:00,2500 Cedar Park Dr,,Oklahoma City,OK,73120,LB: 0547,Invoiced,,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn- shortage"",""survey"":null,""instructions"":"""",""options"":null}]",Clintg,,,(Ongoing Ext) Periodic Lawn- shortage,2,,,,
OK122217-39__1,1/2/2018 0:00,,1/2/2018 0:00,12101 Crystal Gardens Pl,,Oklahoma City,OK,73170,LB: 0873,Invoiced,,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn- shortage"",""survey"":null,""instructions"":"""",""options"":null}]",Clintg,,,(Ongoing Ext) Periodic Lawn- shortage,2,,,,
OK122217-40__1,1/2/2018 0:00,,1/2/2018 0:00,1114 N Westmoreland Ave,,Oklahoma City,OK,73130,LB: 8406,Invoiced,,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn- shortage"",""survey"":null,""instructions"":"""",""options"":null}]",Clintg,,,(Ongoing Ext) Periodic Lawn- shortage,2,,,,
OK122217-41__1,1/2/2018 0:00,,1/2/2018 0:00,12830 SE 19TH STREET,,Oklahoma City,OK,73130,LB: 4389,Invoiced,,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn- shortage"",""survey"":null,""instructions"":"""",""options"":null}]",Clintg,,,(Ongoing Ext) Periodic Lawn-shortage,2,,,,
OK122217-90__2,1/2/2018 0:00,,1/2/2018 0:00,4325 MEADOWPARK DR,,OKLAHOMA CITY,OK,73110,LB: 6348,Invoiced,,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn- shortage"",""survey"":null,""instructions"":"""",""options"":null}]",Clintg,,,(Ongoing Ext) Periodic Lawn- shortage,12,,,,
OK122217-92__1,1/2/2018 0:00,,1/2/2018 0:00,1409 W IOWA,,CHICKASHA,OK,73018,LB: 7221,Invoiced,,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn- shortage"",""survey"":null,""instructions"":"""",""options"":null}]",Clintg,,,(Ongoing Ext) Periodic Lawn- shortage,12,,,,
OK122917-1,1/2/2018 0:00,,1/2/2018 0:00,1504 SOMERSET PL,,DUNCAN,OK,73533,LB: 3776,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Clintg,,,(Ongoing Ext) Periodic Lawn,$42.00 ,,,,
OK122917-2,1/2/2018 0:00,,1/2/2018 0:00,11 NW 59TH ST,,LAWTON,OK,73505,LB: 7873,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Clintg,,,(Ongoing Ext) Periodic Lawn,$42.00 ,,,,
OK122917-25,1/2/2018 0:00,,1/2/2018 0:00,11401 SOUTHEAST 9TH STRE,,Oklahoma City,OK,73165,LB: 2404,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",gustavocamacho,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
OK122917-41__1,1/2/2018 0:00,,1/2/2018 0:00,1111 MAPLE ST,,MUSKOGEE,OK,74403,LB: 6857,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""Exterior Door Repair _ Replacement w_Frame"",""survey"":"""",""instructions"":""Per our conversation the side door to the main home has been kicked in and a new exterior rated door will need to be installed. Please repair the door frame and install new door , this invoice cannot be paid unless the door armor work orders are also complete"",""options"":null}]",jeremyjennings,,,Preventative Boarding- Security Door,$50.00 ,,,,
OK122917-41__2,1/2/2018 0:00,,1/2/2018 0:00,1111 MAPLE ST,,MUSKOGEE,OK,74403,LB: 6857,Invoiced,Viewed,Fannie Mae,"[{""serviceName"":""Door Armor Max _ Mini"",""survey"":"""",""instructions"":""Please install door armor max on the main door and then door armor mini on the other main exterior doors since you are installing a new exterior side door this is required."",""options"":null}]",jeremyjennings,,,"Padlock and Hasp, Hinges",$35.00 ,,,,
TX122917-106,1/2/2018 0:00,,1/2/2018 0:00,2221 Hamilton Street,,Pampa,TX,79065,LB: 4284,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Int_ Periodic Clean"",""survey"":null,""instructions"":null,""options"":null}]",rickieortiz,,,(Ongoing Int) Periodic Clean,$30.00 ,,,,
TX122917-19,1/2/2018 0:00,,1/2/2018 0:00,1734 Private Rd 2541,,Quinlan,TX,75474,LB: 0842,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Angelav,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX122917-23,1/2/2018 0:00,,1/2/2018 0:00,4634 SE 1000,,Andrews,TX,79714,LB: 6118,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",JuanDelgado,,,(Ongoing Ext) Periodic Lawn,$50.00 ,,,,
TX122917-24,1/2/2018 0:00,,1/2/2018 0:00,176 Mesa Verde Path,,Hawkins,TX,75765,LB: 9218,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Jenniferh,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX122917-25,1/2/2018 0:00,,1/2/2018 0:00,1580 County Road 2800,,Mineola,TX,75773,LB: 6539,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Jenniferh,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX122917-26,1/2/2018 0:00,,1/2/2018 0:00,2105 Handly Street,,Texarkana,TX,75501,LB: 1149,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",kristywilliams,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX122917-27,1/2/2018 0:00,,1/2/2018 0:00,6109 Fernwood Dr,,Arlington,TX,76001,LB: 2941,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Lorenlowe,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX122917-28,1/2/2018 0:00,,1/2/2018 0:00,807 5th St,,Honey Grove,TX,75446,LB: 0895,Invoiced,,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Marcuspotter,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX122917-29,1/2/2018 0:00,,1/2/2018 0:00,600 Western Hills T,,Granbury,TX,76049,LB: 0429,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",MarkMoeller,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX122917-30,1/2/2018 0:00,,1/2/2018 0:00,1544 Smiley St,,Amarillo,TX,79106,LB: 0268,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",rickieortiz,,,(Ongoing Ext) Periodic Lawn,$40.00 ,,,,
TX122917-31,1/2/2018 0:00,,1/2/2018 0:00,302 W Wichita St,,Miami,TX,79059,LB: 8068,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",rickieortiz,,,(Ongoing Ext) Periodic Lawn,$40.00 ,,,,
TX122917-32,1/2/2018 0:00,,1/2/2018 0:00,1613 S Palo Duro St,,Amarillo,TX,79106,LB: 1663,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",rickieortiz,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
102-095458,1/2/2018 23:00,,1/2/2018 23:00,503 E Fowler St,,Savoy,TX,75479,LB: 0207,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""Fence Repair - Wood_Chain Link"",""survey"":"""",""instructions"":""Gate has a fence picket missing , please install a new one"",""options"":null}]",Marcuspotter,,,Fence Repair - Wood/Chain Link,100,,,,
102-095458__1,1/2/2018 23:00,,1/2/2018 23:00,503 E Fowler St,,Savoy,TX,75479,LB: 0207,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""Preventative Boarding"",""survey"":"""",""instructions"":""Outbuilding door is damaged , please either repair or install a temp door with padlock and hasp"",""options"":null}]",Marcuspotter,,,Preventative Boarding,20,,,,
102-105851,1/2/2018 23:00,,1/2/2018 23:00,1580 County Road 2800,,Mineola,TX,75773,,Invoiced,,Fannie Mae,"[{""serviceName"":""Deduction"",""survey"":"""",""instructions"":""Vendor was paid for (2) periodic cleans in the month of December\n120817-107 pd 12\/29\/2017 $30.00\n12032017-103 pd 12\/22\/2017 $30.00"",""options"":null}]",Jenniferh,,,Deduction (Vendor was paid for (2) periodic cleans in the month of December),$30.00 ,,,,
110259,1/2/2018 23:00,12/29/2017 0:00,1/2/2018 23:00,937 Oakbluff Drive,,Lancaster,TX,75146,Lockbox code is 1403 - Same for gates,Invoiced,Complete,Robby Setser,"[{""serviceName"":""Winterization"",""survey"":null,""instructions"":""Complete a full winterization on this property"",""options"":null}]",Angelav,,,Winterization,100,,,,
11032017-124__1,1/2/2018 23:00,,1/2/2018 23:00,503 E Fowler St,,Savoy,TX,75479,LB: 0207,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""Emergency Repair_ Service"",""survey"":"""",""instructions"":""Please re-secure flooring on furnace closet , this is a fall hazard ---Need to remove tack strips\/ carpet glue from the interior of the home,\n\n1\/4\/2018 - Please submit photos of the tack strips before, during and after - then mark the work order back as complete. - Jamie"",""options"":null}]",Marcuspotter,,,Emergency Repair/ Service,$100.00 ,,,,
1229-162435,1/2/2018 23:00,,1/2/2018 23:00,624 Little Horse Trl,,Fort Worth,TX,76108,LB: 4908,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""Carpet Removal"",""survey"":null,""instructions"":""Please remove carpet, padding and tack strips from the (2) bedrooms the foundation company already ripped up"",""options"":null}]",MarkMoeller,,,Carpet Removal,$50.00 ,,,,
1229-162835__1,1/2/2018 23:00,,1/2/2018 23:00,"201 S Lane St,",,Decatur,TX,76234,LB: 2852,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""Smoke Detector"",""survey"":null,""instructions"":""4.Need to install a smoke detector in the living room"",""options"":null}]",MarkMoeller,,,Smoke Detector,$15.00 ,,,,
1229-162835__2,1/2/2018 23:00,,1/2/2018 23:00,"201 S Lane St,",,Decatur,TX,76234,LB: 2852,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""Initial Deficiencies"",""survey"":null,""instructions"":""3.Fridge line is not capped, please cap"",""options"":null}]",MarkMoeller,,,Initial Deficiencies,,,,,
1229-164426__1,1/2/2018 23:00,,1/2/2018 23:00,"7381 Fm 2692,",,Gordon,TX,76453,LB: 1826,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""Exterior Window Clean Package"",""survey"":"""",""instructions"":"""",""options"":null}]",MarkMoeller,,,Exterior Window Clean Package,$75.00 ,,,,
1229-164426__2,1/2/2018 23:00,,1/2/2018 23:00,"7381 Fm 2692,",,Gordon,TX,76453,LB: 1826,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""Special Start Up Package"",""survey"":null,""instructions"":"""",""options"":null}]",MarkMoeller,,,Special Start Up Package,$75.00 ,,,,
141158,1/2/2018 23:00,12/28/2017 0:00,1/2/2018 23:00,1961 Saint Andrews Drive,,Red Oak,TX,75154,,Invoiced,,Robby Setser,"[{""serviceName"":""BID ONLY"",""survey"":"""",""instructions"":""Bid the following:\n\n1)Cut down banana tree on left side of home.  The tree grows back annually and is now ready to come down.\n2)Trim palm tree branches touching the roof.  Four trees on front of home."",""options"":null}]",gssbackup1,,,BID ONLY,$150 ,,,,
OK122917-28,1/3/2018 0:00,,1/3/2018 0:00,9413 Nawassa Dr,,Midwest City,OK,73130,LB: 9928,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",gustavocamacho,,,(Ongoing Ext) Periodic Lawn,$40.00 ,,,,
OK122917-29,1/3/2018 0:00,,1/3/2018 0:00,4800 CASPER,,OKLAHOMA CITY,OK,73110,LB: 0949,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",gustavocamacho,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
OK122917-3,1/3/2018 0:00,,1/3/2018 0:00,2814 NW 35TH PL,,LAWTON,OK,73505,LB: 4743,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Clintg,,,(Ongoing Ext) Periodic Lawn,$42.00 ,,,,
OK122917-36,1/3/2018 0:00,,1/3/2018 0:00,5  O ST SW,,ARDMORE,OK,73401,LB: 8681,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",hannahlong,,,(Ongoing Ext) Periodic Lawn,$75.00 ,,,,
OK122917-47,1/3/2018 0:00,,1/3/2018 0:00,14615 Jones Rd Nw,,Calumet,OK,73014,LB: 2283,Invoiced,Viewed,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",royherndon,,,(Ongoing Ext) Periodic Lawn,$90.00 ,,,,
OK122917-47__1,1/3/2018 0:00,,1/3/2018 0:00,14615 Jones Rd Nw,,Calumet,OK,73014,LB: 2283,Invoiced,Viewed,Fannie Mae,"[{""serviceName"":""_Ongoing Int_ Periodic Clean"",""survey"":null,""instructions"":"""",""options"":null}]",royherndon,,,(Ongoing Int) Periodic Clean,30,,,,
OK122917-48,1/3/2018 0:00,,1/3/2018 0:00,2900 Logan Rd,,Weatherford,OK,73096,LB: 1422,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Int_ Periodic Clean"",""survey"":null,""instructions"":"""",""options"":null}]",royherndon,,,(Ongoing Int) Periodic Clean,30,,,,
OK122917-48__1,1/3/2018 0:00,,1/3/2018 0:00,2900 Logan Rd,,Weatherford,OK,73096,LB: 1422,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",royherndon,,,(Ongoing Ext) Periodic Lawn,$90.00 ,,,,
OK122917-50,1/3/2018 0:00,,1/3/2018 0:00,817  7TH ST N,,PONCA CITY,OK,74601,LB: 6869,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",marcelinodiaz,,,(Ongoing Ext) Periodic Lawn,$40.00 ,,,,
OK122917-51,1/3/2018 0:00,,1/3/2018 0:00,11931 E 2ND,,TULSA,OK,74128,LB: 9251,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",marcog,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
OK122917-52,1/3/2018 0:00,,1/3/2018 0:00,2103 S MISSOURI PL,,CLAREMORE,OK,74019,LB: 5421,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",marcog,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
OK122917-53,1/3/2018 0:00,,1/3/2018 0:00,8904 N 140th East Ave,,Owasso,OK,74055,LB: 2083,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Marcog,,,(Ongoing Ext) Periodic Lawn,$42.00 ,,,,
OK122917-54,1/3/2018 0:00,,1/3/2018 0:00,5511 S ATLANTA AVE,,TULSA,OK,74105,LB: 1590,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Marcog,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
OK122917-72,1/3/2018 0:00,,1/3/2018 0:00,17268  89TH EAST AVE S,,BIXBY,OK,74008,LB: 2351,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Michaelz,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
OK122917-82,1/3/2018 0:00,,1/3/2018 0:00,2454 COUNTY ST 2798,,CHICKASHA,OK,73018,LB: 0619,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Clintg,,,(Ongoing Ext) Periodic Lawn,$42.00 ,,,,
OK122917-83,1/3/2018 0:00,,1/3/2018 0:00,28 COUNTRY CREEK DRIVE,,MCLOUD,OK,74851,LB: 6417,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",robertnelson,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX122917-33,1/3/2018 0:00,,1/3/2018 0:00,177 FM 2047,,Baird,TX,79504,LB: 9244,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Rubenanahimartinez,,,(Ongoing Ext) Periodic Lawn,$40.00 ,,,,
TX122917-34,1/3/2018 0:00,,1/3/2018 0:00,3848 Royal Lane,,Dallas,TX,75229,LB: 4471,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Angelav,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX122917-35,1/3/2018 0:00,,1/3/2018 0:00,4307 Montie St,,Dallas,TX,75210,Vacant Lot,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Angelav,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX122917-36,1/3/2018 0:00,,1/3/2018 0:00,1201 Aldenwood,,Dallas,TX,75232,LB: 9659,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Angelav,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX122917-37,1/3/2018 0:00,,1/3/2018 0:00,210 Willowbrook Dr,,Duncanville,TX,75116,LB: 6173,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Angelav,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX122917-38,1/3/2018 0:00,,1/3/2018 0:00,515 Jennifer Trail,,Grand Prairie,TX,75052,LB: 3300,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Angelav,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX122917-40,1/3/2018 0:00,,1/3/2018 0:00,4963 CR 3403,,Lone Oak,TX,75453,LB: 1771,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Angelav,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX122917-41,1/3/2018 0:00,,1/3/2018 0:00,1961 Saint Andrews Dr,,Ovilla,TX,75154,LB: 4419 Gate Code: 9048,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Angelav,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX122917-42,1/3/2018 0:00,,1/3/2018 0:00,214 Glenn Ave,,Rockwall,TX,75087,LB: 4377,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Angelav,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX122917-43,1/3/2018 0:00,,1/3/2018 0:00,9660 E. Hwy 80,,Terrell,TX,75160,LB: 1256,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Angelav,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX122917-44,1/3/2018 0:00,,1/3/2018 0:00,201 East Pecan St,,Edgewood,TX,75117,LB: 6183,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Angelav,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX122917-45,1/3/2018 0:00,,1/3/2018 0:00,4388 Clyde Morgan Road,,Wichita Falls,TX,76310,LB: 8614,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Clintg,,,(Ongoing Ext) Periodic Lawn,$42.00 ,,,,
TX122917-46,1/3/2018 0:00,,1/3/2018 0:00,8880 Private Road 5368,,Blue Ridge,TX,75424,LB: 5955,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",DianeJackson,,,(Ongoing Ext) Periodic Lawn,$40.00 ,,,,
TX122917-47,1/3/2018 0:00,,1/3/2018 0:00,148 Whisphering Winds Drive,,Gunter,TX,75058,LB: 1931,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",DianeJackson,,,(Ongoing Ext) Periodic Lawn,$40.00 ,,,,
TX122917-48,1/3/2018 0:00,,1/3/2018 0:00,7274 Waters Edge Dr,,The Colony,TX,75056,LB: 5160 | Gate: Key Key 7274,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":"""",""instructions"":"""",""options"":null}]",DianeJackson,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
